name,url
3x3 Basketball,https://www.olympics.com/en/olympic-games/tokyo-2020/results/3x3-basketball
Archery,https://www.olympics.com/en/olympic-games/tokyo-2020/results/archery
Artistic Gymnastics,https://www.olympics.com/en/olympic-games/tokyo-2020/results/artistic-gymnastics
Artistic Swimming,https://www.olympics.com/en/olympic-games/tokyo-2020/results/artistic-swimming
Athletics,https://www.olympics.com/en/olympic-games/tokyo-2020/results/athletics
Badminton,https://www.olympics.com/en/olympic-games/tokyo-2020/results/badminton
Baseball/Softball,https://www.olympics.com/en/olympic-games/tokyo-2020/results/baseball-softball
Basketball,https://www.olympics.com/en/olympic-games/tokyo-2020/results/basketball
Beach Volleyball,https://www.olympics.com/en/olympic-games/tokyo-2020/results/beach-volleyball
Boxing,https://www.olympics.com/en/olympic-games/tokyo-2020/results/boxing
Canoe Slalom,https://www.olympics.com/en/olympic-games/tokyo-2020/results/canoe-slalom
Canoe Sprint,https://www.olympics.com/en/olympic-games/tokyo-2020/results/canoe-sprint
Cycling BMX Freestyle,https://www.olympics.com/en/olympic-games/tokyo-2020/results/cycling-bmx-freestyle
Cycling BMX Racing,https://www.olympics.com/en/olympic-games/tokyo-2020/results/cycling-bmx-racing
Cycling Mountain Bike,https://www.olympics.com/en/olympic-games/tokyo-2020/results/cycling-mountain-bike
Cycling Road,https://www.olympics.com/en/olympic-games/tokyo-2020/results/cycling-road
Cycling Track,https://www.olympics.com/en/olympic-games/tokyo-2020/results/cycling-track
Diving,https://www.olympics.com/en/olympic-games/tokyo-2020/results/diving
Equestrian,https://www.olympics.com/en/olympic-games/tokyo-2020/results/equestrian
Fencing,https://www.olympics.com/en/olympic-games/tokyo-2020/results/fencing
Football,https://www.olympics.com/en/olympic-games/tokyo-2020/results/football
Golf,https://www.olympics.com/en/olympic-games/tokyo-2020/results/golf
Handball,https://www.olympics.com/en/olympic-games/tokyo-2020/results/handball
Hockey,https://www.olympics.com/en/olympic-games/tokyo-2020/results/hockey
Judo,https://www.olympics.com/en/olympic-games/tokyo-2020/results/judo
Karate,https://www.olympics.com/en/olympic-games/tokyo-2020/results/karate
Marathon Swimming,https://www.olympics.com/en/olympic-games/tokyo-2020/results/marathon-swimming
Modern Pentathlon,https://www.olympics.com/en/olympic-games/tokyo-2020/results/modern-pentathlon
Rhythmic Gymnastics,https://www.olympics.com/en/olympic-games/tokyo-2020/results/rhythmic-gymnastics
Rowing,https://www.olympics.com/en/olympic-games/tokyo-2020/results/rowing
Rugby Sevens,https://www.olympics.com/en/olympic-games/tokyo-2020/results/rugby-sevens
Sailing,https://www.olympics.com/en/olympic-games/tokyo-2020/results/sailing
Shooting,https://www.olympics.com/en/olympic-games/tokyo-2020/results/shooting
Skateboarding,https://www.olympics.com/en/olympic-games/tokyo-2020/results/skateboarding
Sport Climbing,https://www.olympics.com/en/olympic-games/tokyo-2020/results/sport-climbing
Surfing,https://www.olympics.com/en/olympic-games/tokyo-2020/results/surfing
Swimming,https://www.olympics.com/en/olympic-games/tokyo-2020/results/swimming
Table Tennis,https://www.olympics.com/en/olympic-games/tokyo-2020/results/table-tennis
Taekwondo,https://www.olympics.com/en/olympic-games/tokyo-2020/results/taekwondo
Tennis,https://www.olympics.com/en/olympic-games/tokyo-2020/results/tennis
Trampoline Gymnastics,https://www.olympics.com/en/olympic-games/tokyo-2020/results/trampoline-gymnastics
Triathlon,https://www.olympics.com/en/olympic-games/tokyo-2020/results/triathlon
Volleyball,https://www.olympics.com/en/olympic-games/tokyo-2020/results/volleyball
Water Polo,https://www.olympics.com/en/olympic-games/tokyo-2020/results/water-polo
Weightlifting,https://www.olympics.com/en/olympic-games/tokyo-2020/results/weightlifting
Wrestling,https://www.olympics.com/en/olympic-games/tokyo-2020/results/wrestling
